country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,vaccines,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,vaccines_vaccines,vaccinated_percent,tested_positive
Russia,Europe,18260293,377670.0,17647179.0,235444.0,2300.0,125027,2586.0,273400000.0,1871949.0,146050996,"EpiVacCorona, Sputnik V",187374508.0,89081596.0,79702396.0,20829310.0,1020075.0,129.48,61.56,55.08,14.39,7049.0,569281.0,0.393,"EpiVacCorona, Sputnik V",128.29389263459728,6.678965983906364
Rwanda,Africa,129907,1459.0,45522.0,82926.0,,9587,108.0,5343203.0,394334.0,13549956,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",27322059.0,10884714.0,10399665.0,5879013.0,370105.0,198.32,79.01,75.49,42.67,26865.0,129197.0,0.938,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",201.63946657834165,2.4312570568627097
Saint Barthelemy,North America,4611,6.0,,,,464210,604.0,78646.0,7917648.0,9933,,,,,,,,,,,,,,,,5.862980952623147
Saint Helena,Africa,2,,2.0,0.0,,327,,,,6111,Oxford/AstraZeneca,7892.0,4361.0,3531.0,0.0,165.0,146.12,80.74,65.38,0.0,30550.0,149.0,2.759,Oxford/AstraZeneca,129.14416625756832,
Saint Kitts And Nevis,North America,5605,43.0,5547.0,15.0,,103989,798.0,70707.0,1311818.0,53900,"Oxford/AstraZeneca, Pfizer/BioNTech",64297.0,33794.0,27000.0,3503.0,894.0,134.85,70.88,56.63,7.35,18750.0,496.0,1.04,"Oxford/AstraZeneca, Pfizer/BioNTech",119.28942486085343,7.927079355650784
Saint Lucia,North America,24267,368.0,23277.0,622.0,1.0,131038,1987.0,143281.0,773697.0,185190,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",122977.0,60140.0,54971.0,7866.0,1912.0,68.37,33.43,30.56,4.37,10630.0,1912.0,1.063,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",66.40585344781036,16.936648962528178
Saint Martin,North America,10602,63.0,1399.0,9140.0,7.0,265754,1579.0,112382.0,2817015.0,39894,,,,,,,,,,,,,,,,9.43389510775747
Saint Pierre And Miquelon,North America,2739,1.0,2449.0,289.0,1.0,477095,174.0,23687.0,4125936.0,5741,,,,,,,,,,,,,,,,11.563304766327521
Saint Vincent And The Grenadines,North America,6799,106.0,6641.0,52.0,,60925,950.0,99138.0,888365.0,111596,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik Light, Sputnik V",73443.0,37532.0,31632.0,4279.0,889.0,70.65,36.1,30.43,4.12,8551.0,454.0,0.437,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik Light, Sputnik V",65.81149862002222,6.858116968266457
Samoa,Australia/Oceania,11313,24.0,1605.0,9684.0,4.0,56320,119.0,85921.0,427746.0,200869,Oxford/AstraZeneca,453083.0,191403.0,177954.0,82268.0,4590.0,203.73,86.07,80.02,36.99,20639.0,2219.0,0.998,Oxford/AstraZeneca,225.561435562481,13.166746197088022
San Marino,Europe,16852,115.0,16454.0,283.0,4.0,494716,3376.0,152231.0,4468970.0,34064,"Pfizer/BioNTech, Sputnik V",69338.0,26357.0,23633.0,19348.0,725.0,205.81,78.23,70.15,57.43,21520.0,673.0,1.998,"Pfizer/BioNTech, Sputnik V",203.55213715359324,11.070018590168889
Sao Tome And Principe,Africa,5970,73.0,5891.0,6.0,,26330,322.0,29036.0,128060.0,226737,Oxford/AstraZeneca,263863.0,140256.0,111986.0,34624.0,2448.0,116.04,61.68,49.25,15.23,10766.0,1352.0,0.595,Oxford/AstraZeneca,116.37403687973291,20.560683289709324
Saudi Arabia,Asia,759226,9116.0,743921.0,6189.0,61.0,21194,254.0,42144668.0,1176452.0,35823522,"Oxford/AstraZeneca, Pfizer/BioNTech",68534631.0,27041364.0,25433941.0,10793985.0,402957.0,188.24,74.27,69.86,29.65,11068.0,171173.0,0.47,"Oxford/AstraZeneca, Pfizer/BioNTech",191.31181741426764,1.801475811839353
Senegal,Africa,86039,1966.0,84059.0,14.0,,4898,112.0,1081824.0,61589.0,17565349,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",3179647.0,2684696.0,1546628.0,815965.0,41586.0,18.36,15.5,8.93,4.71,2402.0,73656.0,0.425,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",18.101815113380326,7.953142100748366
Serbia,Europe,2012836,16049.0,1988209.0,8578.0,12.0,232112,1851.0,9596815.0,1106664.0,8671838,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",8534688.0,3354075.0,3278198.0,1902412.0,64449.0,124.2,48.81,47.71,27.69,9379.0,45317.0,0.659,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",98.4184437024769,20.97400022820071
Seychelles,Africa,43235,167.0,42553.0,515.0,,434606,1679.0,,,99481,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",224558.0,88520.0,83565.0,44936.0,2401.0,209.6,82.62,78.0,41.94,22411.0,2170.0,2.025,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",225.72953629336254,
Sierra Leone,Africa,7682,125.0,,,,928,15.0,259958.0,31400.0,8279028,"Oxford/AstraZeneca, Sinopharm/Beijing",9155936.0,5676123.0,4961886.0,1201709.0,60860.0,106.39,65.96,57.66,13.96,7072.0,34358.0,0.399,"Oxford/AstraZeneca, Sinopharm/Beijing",110.59191972777481,2.9550927457512364
Singapore,Asia,1240233,1362.0,1162140.0,76731.0,8.0,208933,229.0,23767171.0,4003881.0,5936034,"Moderna, Novavax, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",14727569.0,5160551.0,5120969.0,4440289.0,75745.0,261.27,91.55,90.85,78.77,13437.0,59894.0,1.063,"Moderna, Novavax, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",248.10452568162512,5.218260936482512
Sint Maarten,North America,10123,86.0,9985.0,52.0,10.0,231208,1964.0,62056.0,1417354.0,43783,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",66829.0,29788.0,26773.0,9146.0,892.0,151.22,67.41,60.58,20.7,20185.0,219.0,0.496,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",152.63686819085035,16.31268531648833
Slovakia,Europe,1787093,20041.0,1761664.0,5388.0,30.0,327033,3667.0,7127129.0,1304244.0,5464567,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",5754313.0,2595901.0,2577827.0,684026.0,35902.0,101.96,46.0,45.68,12.12,6362.0,23668.0,0.419,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",105.30226823095042,25.074514576626854
Slovenia,Europe,1019468,6622.0,1003559.0,9287.0,9.0,490254,3184.0,2656926.0,1277694.0,2079470,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",2996643.0,1265802.0,1222225.0,657967.0,19121.0,141.36,59.71,57.66,31.04,9020.0,11155.0,0.526,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",144.1060943413466,38.3702067727893
Solomon Islands,Australia/Oceania,18174,146.0,16357.0,1671.0,2.0,25303,203.0,5117.0,7124.0,718243,Oxford/AstraZeneca,625956.0,343821.0,254352.0,27783.0,11404.0,86.43,47.47,35.12,3.84,15745.0,4596.0,0.635,Oxford/AstraZeneca,87.15100599657775,355.16904436193084
Somalia,Africa,26518,1350.0,13182.0,11986.0,,1586,81.0,400466.0,23953.0,16718643,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",10555834.0,8972167.0,7666835.0,28134.0,111118.0,59.98,50.99,43.57,0.16,6314.0,111118.0,0.631,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",63.13810277544655,6.621785619752988
South Africa,Africa,3887449,100753.0,3708347.0,78349.0,192.0,64042,1660.0,24841314.0,409239.0,60701292,"Johnson&Johnson, Pfizer/BioNTech",41798812.0,24210953.0,21038797.0,4410601.0,241230.0,69.79,40.42,35.13,7.36,4028.0,210884.0,0.352,"Johnson&Johnson, Pfizer/BioNTech",68.85983909535237,15.649127900400114
South Korea,Asia,17782061,23709.0,,,338.0,346282,462.0,15804065.0,307763.0,51351355,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",129647782.0,44784499.0,44372679.0,41325954.0,881020.0,250.21,86.43,85.64,79.76,17003.0,601038.0,1.16,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",252.4719785875173,112.51574199422743
South Sudan,Africa,17525,138.0,13514.0,3873.0,1.0,1532,12.0,389677.0,34068.0,11438136,"Johnson&Johnson, Oxford/AstraZeneca",4365547.0,4315127.0,4273253.0,513122.0,97376.0,40.0,39.54,39.16,4.7,8923.0,97358.0,0.892,"Johnson&Johnson, Oxford/AstraZeneca",38.1665946269567,4.497314442474152
Spain,Europe,12127122,105444.0,11548089.0,473589.0,339.0,259190,2254.0,471036328.0,10067352.0,46788503,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",105840320.0,41351234.0,40739123.0,26559282.0,670109.0,222.55,86.95,85.66,55.85,14090.0,275069.0,0.578,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",226.21010122935542,2.574561934849322
Sri Lanka,Asia,663671,16511.0,646921.0,239.0,,30753,765.0,6486117.0,300555.0,21580463,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",40116590.0,17143761.0,14752827.0,8220002.0,475620.0,183.75,78.53,67.57,37.65,21785.0,420233.0,1.925,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",185.89309228444264,10.232177433740402
State Of Palestine,Asia,582119,5353.0,576684.0,82.0,17.0,109376,1006.0,3078533.0,578432.0,5322203,,,,,,,,,,,,,,,,18.908973852156205
Sudan,Africa,62161,4936.0,,,,1359,108.0,562941.0,12303.0,45755378,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",22598737.0,15207452.0,13416394.0,3891363.0,159116.0,48.21,32.44,28.62,8.3,3395.0,151710.0,0.324,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",49.390340519097016,11.04218736954672
Suriname,South America,80008,1337.0,49455.0,29216.0,,134147,2242.0,236268.0,396143.0,596421,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",505699.0,267820.0,237879.0,48889.0,6238.0,81.82,43.33,38.49,7.91,10093.0,5461.0,0.884,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",84.78893264992347,33.86324004943539
Swaziland,Africa,71698,1402.0,69549.0,747.0,11.0,60631,1186.0,1021394.0,863732.0,1182536,,,,,,,,,,,,,,,,7.019622202597627
Sweden,Europe,2504894,18864.0,2477725.0,8305.0,9.0,245180,1846.0,18553837.0,1816057.0,10216549,"Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",28312817.0,7775726.0,7593676.0,9836355.0,110659.0,268.38,73.71,71.98,93.24,10490.0,58818.0,0.558,"Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",277.1270122621641,13.500679131761265
Switzerland,Europe,3631881,13882.0,3551493.0,66506.0,78.0,414008,1582.0,20927607.0,2385592.0,8772500,"Johnson&Johnson, Moderna, Novavax, Pfizer/BioNTech",16940716.0,6096911.0,0.0,4885838.0,92595.0,193.82,69.75,0.0,55.9,10594.0,51131.0,0.585,"Johnson&Johnson, Moderna, Novavax, Pfizer/BioNTech",193.11161014534056,17.354497339327903
Syria,Asia,55869,3150.0,52479.0,240.0,,3054,172.0,146269.0,7996.0,18292142,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",5090630.0,3295630.0,2358365.0,75881.0,90157.0,23.01,14.9,10.66,0.34,4075.0,26164.0,0.118,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",27.829600273166477,38.19606341740218
Taiwan,Asia,768543,1068.0,60634.0,706841.0,,32161,45.0,16207475.0,678221.0,23897056,"Medigen, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",68158988.0,21899240.0,20793089.0,25466659.0,585216.0,285.26,91.65,87.02,106.58,24493.0,232198.0,0.972,"Medigen, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",285.21918348435895,4.741904584150214
Tajikistan,Asia,17388,124.0,17264.0,0.0,,1750,12.0,,,9936493,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",20568163.0,5328277.0,5191919.0,5322496.0,88171.0,206.66,53.54,52.17,53.48,8859.0,80688.0,0.811,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",206.9962007722443,
Tanzania,Africa,35354,840.0,,,7.0,562,13.0,,,62901456,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",39392419.0,34434933.0,32165791.0,7171363.0,263699.0,60.14,52.57,49.11,10.95,4026.0,260678.0,0.398,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",62.62560758529977,
Thailand,Asia,4373846,29475.0,4273599.0,70772.0,1496.0,62371,420.0,17270775.0,246281.0,70126166,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",142635014.0,57005497.0,53486086.0,32143431.0,846179.0,198.94,79.51,74.6,44.83,11802.0,400006.0,0.558,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",203.397707497655,25.325128721785788
Timor Leste,Asia,22889,131.0,22746.0,12.0,,16766,96.0,264799.0,193963.0,1365204,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2028798.0,886838.0,801759.0,340201.0,11248.0,151.26,66.12,59.77,25.36,8386.0,8905.0,0.664,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",148.6076806103703,8.643914818409435
Togo,Africa,37023,273.0,36727.0,23.0,,4285,32.0,735638.0,85144.0,8639966,Oxford/AstraZeneca,3423181.0,2255579.0,1554066.0,427804.0,37978.0,38.69,25.49,17.56,4.83,4292.0,26372.0,0.298,Oxford/AstraZeneca,39.62030637620565,5.032774272128411
Tonga,Australia/Oceania,11049,11.0,10110.0,928.0,,102376,102.0,518262.0,4802012.0,107926,,,,,,,,,,,,,,,,2.13193326927307
Trinidad And Tobago,North America,154643,3871.0,141354.0,9418.0,18.0,109837,2749.0,726218.0,515806.0,1407928,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1580898.0,753588.0,716898.0,168619.0,17908.0,103.26,49.22,46.82,11.01,11697.0,13786.0,0.9,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",112.28542936854726,21.294294550672113
Tunisia,Africa,1041197,28575.0,,,29.0,86414,2372.0,4592916.0,381189.0,12048936,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",13253317.0,7218871.0,6401841.0,1258577.0,167388.0,107.26,58.42,51.81,10.19,13547.0,162627.0,1.316,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",109.99574568244034,22.66962861937819
Turkey,Asia,15053168,98890.0,14951238.0,3040.0,975.0,174977,1149.0,160622710.0,1867071.0,86029250,"Pfizer/BioNTech, Sinovac, Turkovac",152543341.0,57941051.0,53176961.0,41425329.0,1264431.0,178.75,67.89,62.31,48.54,14816.0,1155560.0,1.354,"Pfizer/BioNTech, Sinovac, Turkovac",177.31566996108882,9.371755712501676
Turks And Caicos Islands,North America,6046,36.0,5963.0,47.0,4.0,152323,907.0,505354.0,12731886.0,39692,Pfizer/BioNTech,73907.0,32815.0,30710.0,7443.0,517.0,161.63,71.76,67.16,16.28,11306.0,236.0,0.516,Pfizer/BioNTech,186.2012496220901,1.19638906588253
Uganda,Africa,164069,3596.0,100205.0,60268.0,2.0,3388,74.0,2612795.0,53950.0,48429823,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",26406936.0,20033189.0,13061126.0,764664.0,294514.0,55.89,42.4,27.64,1.62,6233.0,263652.0,0.558,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",54.52618730405023,6.279444043639091
UK,Europe,22159805,176708.0,21677896.0,305201.0,253.0,323264,2578.0,519264096.0,7574950.0,68550166,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",151248820.0,53813491.0,50762968.0,40373987.0,970350.0,224.04,79.71,75.19,59.81,14374.0,506394.0,0.75,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",220.6396115802258,4.267540384690876
Ukraine,Europe,5006460,108449.0,,,177.0,115771,2508.0,19521252.0,451415.0,43244553,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",35735488.0,16267198.0,15741036.0,3294979.0,255007.0,90.01,40.97,39.65,8.3,6423.0,188506.0,0.475,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",82.63581311616286,25.646203429984922
