country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,vaccines,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,vaccines_vaccines,vaccinated_percent,tested_positive
United Arab Emirates,Asia,902484,2302.0,886128.0,14054.0,,89240,228.0,159103283.0,15732628.0,10112950,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",24922054.0,9991089.0,9792266.0,5138699.0,155312.0,263.97,105.83,103.72,54.43,16451.0,60087.0,0.636,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",246.4370337043098,0.5672315385220555
Uruguay,South America,902540,7213.0,892434.0,2893.0,18.0,258152,2063.0,6114822.0,1749015.0,3496151,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",9036273.0,3010451.0,2903089.0,3122733.0,49542.0,264.0,87.95,84.82,91.23,14474.0,34806.0,1.017,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",258.4634645357137,14.759873631644552
USA,North America,84209473,1026646.0,81244260.0,1938567.0,1941.0,251659,3068.0,1016882505.0,3038939.0,334617623,"Johnson&Johnson, Moderna, Novavax, Pfizer/BioNTech",676728782.0,270227181.0,230637348.0,133062763.0,3508126.0,203.83,81.39,69.47,40.08,10566.0,2017866.0,0.608,"Johnson&Johnson, Moderna, Novavax, Pfizer/BioNTech",202.2394325597131,8.28114089739404
Uzbekistan,Asia,238802,1637.0,236974.0,191.0,23.0,6947,48.0,1377915.0,40088.0,34372515,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik Light, Sputnik V, ZF2001",83937954.0,22094470.0,18451781.0,16413048.0,426314.0,242.4,63.81,53.29,47.4,12311.0,353943.0,1.022,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik Light, Sputnik V, ZF2001",244.20079240637466,17.330677146268094
Vanuatu,Australia/Oceania,8457,14.0,7974.0,469.0,,26386,44.0,24976.0,77926.0,320508,Oxford/AstraZeneca,366638.0,176624.0,162250.0,27697.0,8843.0,112.21,54.06,49.66,8.48,27064.0,2665.0,0.816,Oxford/AstraZeneca,114.39277646735806,33.86050608584241
Venezuela,South America,522921,5711.0,516170.0,1040.0,230.0,18487,202.0,3359014.0,118752.0,28285909,"Abdala, Sinopharm/Beijing, Sinovac, Soberana02, Sputnik Light, Sputnik V",37860994.0,22157232.0,14966671.0,651502.0,466473.0,133.78,78.29,52.88,2.3,16482.0,179745.0,0.635,"Abdala, Sinopharm/Beijing, Sinovac, Soberana02, Sputnik Light, Sputnik V",133.85107758071342,15.567693376687325
Viet Nam,Asia,10696630,43065.0,9355040.0,1298525.0,340.0,108080,435.0,85811485.0,867048.0,98969721,"Abdala, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",266492149.0,90497674.0,85961564.0,57975220.0,1675471.0,271.41,92.17,87.55,59.05,17064.0,1242489.0,1.265,"Abdala, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",269.2663435920972,12.465266158719897
Wallis And Futuna Islands,Australia/Oceania,454,7.0,438.0,9.0,,41755,644.0,20508.0,1886140.0,10873,Moderna,18058.0,7150.0,6803.0,3766.0,432.0,155.73,61.66,58.67,32.48,37254.0,272.0,2.346,Moderna,166.08111836659617,2.213770236005461
Western Sahara,Africa,10,1.0,9.0,0.0,,16,2.0,,,624681,,,,,,,,,,,,,,,,
Yemen,Asia,11819,2149.0,9009.0,661.0,23.0,381,69.0,265253.0,8543.0,31049015,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",1298654.0,1050202.0,807057.0,68925.0,10240.0,3.85,3.12,2.4,0.2,304.0,10240.0,0.03,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",4.182593232023624,4.45574602360765
Zambia,Africa,320591,3983.0,315997.0,611.0,,16575,206.0,3452554.0,178497.0,19342381,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",13454213.0,11711565.0,9213802.0,33684.0,180289.0,67.21,58.51,46.03,0.17,9006.0,47250.0,0.236,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",69.55820485595852,9.285618704298324
Zimbabwe,Africa,249206,5482.0,242417.0,1307.0,12.0,16324,359.0,2287793.0,149863.0,15265849,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",12222754.0,6437808.0,4751270.0,1033676.0,121347.0,74.89,39.45,29.11,6.33,7435.0,85662.0,0.525,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",80.06599567439714,10.892856128154952
